Ticker,Date,Adj Close,Increase
AAL,2008-07-22,4.025506,2.426136298573129
ABMD,1988-01-06,4.75,2.0
AKAM,2001-04-19,12.6,2.1
ALGN,2002-11-22,2.91,2.2384615384615385
ARGX,2017-12-11,54.470001,2.1087882694541236
ARVL,2020-11-23,25.450001,2.5125877184322243
BKNG,1999-04-26,724.5,2.0167014613778704
BMRN,2000-03-01,38.75,2.039473684210526
BNTX,2020-03-17,66.599998,2.332749573826605
CTXS,1997-05-12,4.198206,2.4857134737059
CZR,2020-03-24,15.05,2.119718309859155
DISCB,2021-03-31,128.0,2.476780185758514
DXCM,2008-12-04,2.99,2.151079136690648
EBAY,1998-10-26,1.241912,2.4978720323097097
EXAS,2009-01-12,1.5,2.727272727272727
FFIV,1999-06-29,15.75,2.032258064516129
FITB,2009-02-26,1.686903,2.2233010604451073
HBAN,2009-04-17,2.815054,2.2748536121396468
IEP,2008-12-03,16.117836,2.0226507058266936
ILMN,2001-01-23,8.625,2.0
INCY,1999-12-27,31.5625,2.172043010752688
ISRG,2001-04-24,4.62,2.0686570251726906
JKHY,1987-12-17,0.143938,2.066649437169768
LBTYB,2020-05-04,41.099998,2.238561860644779
MRVL,2001-04-18,3.897553,2.1052013836075774
NTES,2002-11-15,0.35761,2.0696460402342756
NUAN,1998-12-02,1.569264,2.1481494663383156
NVAX,2002-08-06,84.0,2.1
NVDA,2000-03-10,9.037768,2.0366764409213456
PENN,2020-03-23,9.8,2.1681415929203545
PFG,2008-12-05,13.033157,2.0360544293140816
PLUG,2000-01-07,790.0,3.0679611650485437
PODD,2008-12-05,6.51,2.02803738317757
REGN,1995-01-10,6.375,2.125
ROKU,2017-11-13,42.709999,2.26698508492569
SBAC,2001-04-18,26.871483,2.0953849724039695
SIRI,1995-01-06,3.776628,2.3703702773863733
UAL,2008-07-22,8.41,2.686900958466454
UHAL,2002-10-28,4.149574,2.513514708599223
UPST,2021-03-18,115.089996,2.4555152220080054
WDC,1980-01-18,2.207695,2.0000009059226507
