Ticker,Date,Adj Close,Increase
ACCD,2020-07-02,29.700001,54.000001818181815
AGRX,2019-11-05,2.4,6.46900269541779
ALT,2018-09-20,26.23,6.142857142857143
AMEH,2009-04-13,17.0,8.5
AMRN,1998-12-02,83.75,5.583333333333333
APVO,2020-11-09,32.740002,5.196825714285714
AREC,2018-03-01,1.1,22.0
ARWR,1995-12-07,650.0,5.319149066754887
ASLN,2019-11-27,2.32,5.484633569739953
ATHX,2009-12-22,5.55,5.6060606060606055
AWH,2009-05-12,0.25,8.333333333333334
AYTU,2008-10-22,591219.5,5.049999846516928
BLNK,2010-04-09,1625.0,12.264150943396226
BNGO,2019-10-16,2.85,5.480769230769231
BTBT,2021-01-04,29.27,5.055267702936097
BYRN,2016-04-04,2.7,5.4
CASS,1996-07-01,2.526119,32.45312760955305
CODX,2020-02-27,15.96,5.232786885245902
COMS,2010-11-01,1820.160034,9.677419226892592
CRIS,2020-12-09,7.69,5.340277777777779
CRMT,1993-06-17,3.375,5.4
CTIC,2009-03-26,195.0,5.416666666666667
CTRM,2021-05-28,3.05,8.495821727019498
DRIO,2019-11-18,4.3,21.07843137254902
DUO,2020-06-09,47.060001,5.0640267943613475
DVAX,2008-12-17,17.4,6.959999999999999
EYES,2021-03-08,11.77,8.23076923076923
FSTX,2020-11-27,6.995,5.7809917355371905
GBNH,2021-02-08,15.473,5.381913043478261
GBOX,2018-05-22,2.4,6.666666666666667
GEVO,2018-06-19,19.5,5.555555555555556
GIII,1998-12-29,2.958333,5.259258666666667
GNPX,2020-01-22,1.9,5.571847507331378
GTX,2021-05-12,5.77,9.84641638225256
HGEN,2015-11-19,52.0,11.555555555555555
HROW,2011-11-22,6.0,5.0
ICPT,2014-01-10,445.829987,6.578574689917723
IDEX,2008-12-17,18.75,5.0
IMMP,2015-05-20,19.700001,11.819998236000353
INPX,2020-01-03,20.475,5.986842105263158
IOVA,2013-07-25,10.0,5.0
IPA,2002-07-08,12.0,8.0
KOSS,2021-01-27,58.0,17.365269461077844
KRTX,2019-11-18,96.0,5.64373897707231
KXIN,2020-10-19,8.15,15.092592592592592
LFVN,1997-05-01,47.599998,6.666666386554622
LMNL,2010-04-09,159.0,9.9375
LRMR,2020-05-29,12.3,14.089347079037802
LTRPB,2020-04-15,34.689999,9.104986614173228
LX,2017-12-26,14.39,13.448598130841122
MCRB,2020-08-10,22.700001,5.550122493887531
MDVL,2010-07-29,1470.0,8.781362321912628
MMAC,2009-01-06,4.6,5.749999999999999
MNMD,2019-08-13,0.05,5.0
MTBC,2017-05-01,2.4,5.714285714285714
MVIS,2020-05-05,1.3,5.2
NAKD,2018-06-20,850.0,6.25
NBEV,2018-09-20,7.85,5.0
NCTY,2021-01-07,17.1,5.000000000000001
NLTX,2015-08-07,10.42,6.058139534883721
NUAN,1999-11-15,8.603896,5.129032738813787
OAS,2020-11-20,30.802532,258.5493217835079
OCGN,2020-12-23,2.6,8.843537414965986
OEG,1999-10-29,23.4375,5.0
OPBK,2010-01-26,3.250312,8.750005384101824
ORGO,2019-01-09,82.349998,8.113300295566502
PAYS,2011-11-14,0.11,11.0
PCYG,2002-11-22,2.5,5.0
PRTG,2003-04-23,35.0,10.0
PYR,2014-01-14,0.48,10.434782608695652
QIPT,2019-01-10,0.41,5.125
RGLD,1992-06-05,0.797423,7.9999899676959805
SBRA,2003-05-14,1.803055,5.740732486205788
SCPS,2020-12-17,33.959999,5.736486317567568
SMTI,1995-04-19,500.0,5.0
SPI,2017-05-25,19.299999,5.830815407854985
SRNE,2009-07-15,22.25,8.9
SUNW,2010-09-08,22.75,9.615384615384615
TGTX,2011-07-21,28.6875,5.1
TXMD,2009-07-21,150.0,8.823529411764707
UGRO,2020-10-15,0.88,14.193548387096774
UONE,2020-06-16,27.190001,18.006623178807946
VG,2009-08-26,2.17,5.425
VISL,2013-04-22,684000.0,39.583333333333336
VTGN,2014-08-18,15.0,25.0
VTNR,1997-05-27,198.0,5.5
WETF,2004-11-18,1.260181,37.49980657640232
WIMI,2020-07-13,24.74,7.0685714285714285
WNW,2020-12-16,65.099998,5.402489460580912
WTRH,2020-03-18,1.97,6.354838709677419
YMTX,2018-10-18,207.0,5.914285714285715
