Ticker,Date,Adj Close,Increase
ACR,2020-04-09,10.44,3.283018867924528
AGX,1995-10-13,5.517584,32.00009279450657
AHT,2020-11-09,4.73,3.307692307692308
AIG,2009-03-18,19.314537,3.3658542068348263
AMC,2021-01-27,19.9,6.7003367003367
AMPY,2016-03-09,0.558174,3.190477279222635
AXL,2009-03-16,1.11,3.8275862068965525
BORR,2020-04-07,1.6,3.3333333333333335
BZH,2009-03-18,4.6,3.172413793103448
CBZ,1996-05-21,10.125,4.378378378378378
CPE,2008-12-11,32.700001,3.0849057547169814
CVE,2009-12-09,17.986408,117.4998562805404
DAN,2009-05-08,1.961719,3.0684941577638387
DAR,2000-09-26,0.8125,3.25
DIN,2008-10-28,12.842472,3.1016950012184608
EGHT,1998-12-02,9.375,3.488372093023256
EGY,1996-02-28,0.807832,3.7407422842721862
EHC,2003-07-07,8.030238,3.857142033724737
ENZ,1991-12-04,3.997582,5.000002501513416
ESTE,1995-03-06,0.4,4.0
EVC,2009-03-23,0.308803,3.066655411779894
EXPR,2021-01-25,4.15,3.5775862068965525
FET,2020-06-08,19.0,3.064516129032258
GME,2021-01-26,147.979996,3.7827198308466214
GPMT,2020-03-26,6.205021,3.026666770725768
GTN,2008-11-28,0.587694,3.2777681723620584
HUBB,1994-10-31,12.428244,9.859311622859382
KODK,2018-01-10,10.7,3.5081967213114753
LAC,2013-09-13,2.2,3.1428571428571432
MDC,1990-11-12,0.066552,3.0
MED,2000-01-03,0.293806,3.6666625067079335
MFA,2020-03-25,0.962049,3.1666661180691564
MITT,2020-06-08,7.389878,3.16736386968247
MOGU,2020-07-07,5.92,3.3258426966292136
MUX,1991-12-24,0.121154,5.166702204784852
NVR,1993-10-01,10.25,27.333333333333332
OFG,2009-03-12,2.187698,3.0769224277850133
PARR,2012-09-07,2.2,3.666666666666667
PDS,2020-11-12,14.54,21.70149253731343
SOS,2021-02-17,12.8,3.2241813602015115
SU,1982-05-26,0.177832,3.809515648765022
TCI,1990-09-10,2.552343,3.6250031955960424
TREC,2008-12-17,1.9,3.8
UVE,2003-07-22,0.026577,3.0
VHC,2003-01-10,0.071269,3.0000420946287254
WLL,2020-04-23,1.68,5.25
WMB,2002-07-31,1.230793,3.352270994029721
WTRG,1981-07-01,1.352904,12.429981073482665
