Ticker,Date,Adj Close,Increase
ACCD,2020-07-02,29.700001,54.000001818181815
AGRX,2019-11-05,2.4,6.46900269541779
ALT,2018-09-20,26.23,6.142857142857143
AMEH,2009-04-13,17.0,8.5
AMRN,1998-12-02,83.75,6.536585365853658
ANIX,2017-09-25,3.85,5.746268656716418
APVO,2020-11-09,32.740002,5.272142028985507
AREC,2018-03-01,1.1,22.0
ARWR,1995-12-07,650.0,5.319149066754887
ASLN,2019-11-27,2.32,6.236559139784946
ASYS,2000-08-25,20.6875,5.253968253968254
ATHX,2009-12-22,5.55,5.663265306122449
ATOS,2019-03-14,7.07,5.014184397163121
AWH,2009-05-12,0.25,8.333333333333334
AYTU,2008-10-22,591219.5,5.049999846516928
BCLI,2009-09-02,5.1,5.666666666666666
BFRA,2020-08-12,30.5,5.446428571428572
BLNK,2010-04-09,1625.0,12.264150943396226
BNGO,2019-10-16,2.85,5.480769230769231
BTBT,2021-01-04,29.27,5.312159709618875
BYRN,2011-09-09,2.5,5.0
CASS,1996-07-01,2.526119,32.45312760955305
CCOI,2002-11-29,19.724478,5.148148718488124
CODX,2020-02-27,15.96,5.465753424657534
COMS,2010-11-01,1820.160034,9.677419226892592
CRIS,2020-12-09,7.69,5.613138686131387
CRMT,1993-06-16,2.666667,5.333334
CTIC,2009-03-26,195.0,8.125
CTRM,2021-05-28,3.05,8.495821727019498
DRIO,2019-11-18,4.3,21.07843137254902
DUO,2020-06-09,47.060001,5.087567675675675
DVAX,2008-12-17,17.4,7.25
EYES,2021-03-08,11.77,8.23076923076923
FCEL,2019-07-05,0.8,5.0
FSTX,2020-11-27,6.995,5.7809917355371905
FTFT,2016-07-22,14.25,5.840163934426229
GALT,2007-02-14,7.56,5.04
GBNH,2021-02-08,15.473,6.534206081081082
GBOX,2018-04-30,0.9,5.0
GEVO,2018-06-19,19.5,5.685131195335277
GIII,1998-12-29,2.958333,5.259258666666667
GNPX,2020-01-22,1.9,5.588235294117647
GNUS,2020-05-14,1.63,5.4515050167224075
GRTS,2021-01-19,22.27,5.471744471744471
GTX,2021-05-12,5.77,9.84641638225256
HGEN,2015-11-19,52.0,11.555555555555555
HROW,2011-07-15,6.0,5.0
ICPT,2014-01-10,445.829987,6.730525369279148
IDEX,2008-12-17,18.75,5.0
IMMP,2015-05-20,19.700001,12.06122756351583
INPX,2020-01-03,20.475,6.893939393939394
IOVA,2013-07-25,10.0,5.0
IPA,2002-07-08,12.0,8.0
JAGX,2021-01-04,1.78,5.235294117647059
KOSS,2021-01-27,58.0,20.0
KRMD,2003-05-09,0.15,7.5
KRTX,2019-11-18,96.0,6.157793457344452
KXIN,2020-10-19,8.15,16.3
LFVN,1997-05-01,47.599998,6.666666386554622
LMNL,2010-04-09,159.0,9.9375
LMPX,2019-12-13,28.690001,5.3526121268656714
LRMR,2020-05-29,12.3,15.222772277227723
LTRPB,2020-04-15,34.689999,9.452315803814715
LX,2017-12-26,14.39,13.448598130841122
MARA,2020-08-06,5.09,5.302083333333333
MCRB,2020-08-10,22.700001,6.069518983957219
MDVL,2010-07-29,1470.0,8.781362321912628
MMAC,2009-01-06,4.6,7.666666666666666
MNMD,2019-08-13,0.05,5.0
MTBC,2017-05-01,2.4,5.714285714285714
MVIS,2020-05-05,1.3,5.6521739130434785
NAKD,2018-06-20,850.0,6.25
NBEV,2018-09-20,7.85,5.0
NCTY,2021-01-06,14.89,5.1522491349480966
NLTX,2015-08-07,10.42,7.136986301369864
NUAN,1999-11-11,7.440476,5.499999260800081
OAS,2020-11-20,30.802532,348.31490506937456
OCGN,2020-12-23,2.6,8.934707903780069
OEG,1999-10-29,23.4375,5.0
OPBK,2010-01-26,3.250312,8.750005384101824
OPRX,2007-12-13,45.0,5.0
OPTT,2016-07-20,278.399994,5.612903331165457
ORGO,2019-01-09,82.349998,8.113300295566502
PAYS,2010-08-31,0.26,5.2
PCYG,2002-11-22,2.5,5.0
PLL,2020-09-28,37.0,5.096418732782369
PPC,2008-12-15,0.695403,6.133329217417381
PRTG,2003-04-23,35.0,10.0
PYR,2014-01-14,0.48,10.434782608695652
QIPT,2019-01-10,0.41,5.125
RGLD,1992-06-02,0.398712,5.333369003986196
SAVA,2020-01-03,9.65,5.7440476190476195
SBRA,2003-05-14,1.803055,7.045467866534853
SCPS,2020-12-17,33.959999,5.736486317567568
SLP,1999-01-20,0.930771,5.357140390459526
SLS,2020-12-10,17.66,5.045714285714285
SMSI,2000-03-09,84.25,5.711864406779661
SMTI,1995-04-19,500.0,5.0
SPI,2017-05-25,19.299999,5.830815407854985
SRNE,2009-07-15,22.25,8.9
SUNW,2010-09-08,22.75,9.615384615384615
TCX,1998-11-16,26.084486,5.159090621405278
TELL,2016-08-11,6.01,5.271929824561404
TGA,1992-05-21,1.37788,5.199998490435019
TGTX,2011-07-21,28.6875,5.1
THRM,1999-01-12,3.125,5.0
TXMD,2009-07-21,150.0,8.823529411764707
UGRO,2020-10-15,0.88,14.193548387096774
UONE,2020-06-16,27.190001,20.75572595419847
VG,2009-08-26,2.17,5.7105263157894735
VIRX,2009-12-11,2172.631592,5.733333540574081
VISL,2013-04-22,684000.0,39.583333333333336
VTGN,2014-08-18,15.0,25.0
VTNR,1997-05-22,120.0,5.0
WETF,2002-11-06,0.159623,6.333240755435645
WIMI,2020-07-13,24.74,7.212827988338192
WNW,2020-12-16,65.099998,5.402489460580912
WTRH,2020-03-18,1.97,6.354838709677419
YMTX,2018-10-18,207.0,5.914285714285715
