Ticker,Date,Adj Close,Increase
ABEO,1995-06-14,1718.947388,4.0
ABUS,2020-07-23,6.2,3.542857142857143
ACB,2020-05-21,17.4,3.0
ACCD,2020-07-02,29.700001,54.000001818181815
ACHC,2000-02-02,9.75,3.25
ACRS,2021-01-19,18.83,3.213310580204778
ADAP,2020-01-13,3.99,3.4396551724137936
ADMP,2009-04-30,17.85,3.8888888888888893
AEYE,2016-02-22,3.0,3.0
AFMD,2018-08-28,5.55,3.8275862068965516
AGEN,2009-06-03,15.9,4.907407407407407
AGRX,2019-10-31,1.2,3.234501347708895
ALPN,2020-06-19,12.1,3.2439678284182305
ALT,2018-09-19,16.459999,3.854800702576113
ALTM,2020-11-05,29.090391,3.1812500799676124
ALTO,2010-01-11,238.350006,3.2898552915053956
AMEH,2009-04-13,17.0,8.5
AMOT,2000-02-09,4.483968,4.107141843042677
AMRN,1998-12-01,52.5,4.2
AMTX,2016-06-15,2.36,4.0
ANIX,2017-09-21,2.05,3.1060606060606055
APPS,2006-08-08,8.0,3.2
APTO,1999-04-14,241.875,3.909090909090909
APVO,2020-11-05,21.209999,3.4154587761674717
AREC,2018-03-01,1.1,22.0
ARVN,2020-12-15,74.25,3.009728415079043
ARWR,1994-05-13,975.0,3.0
ASLN,2019-11-22,1.73,4.650537634408602
ASUR,2006-12-18,10.066667,3.0200004020000404
ASYS,2000-08-17,14.625,3.8360655737704916
ATHX,2009-12-22,5.55,5.663265306122449
ATOS,2016-02-17,118.800003,3.000000227272739
ATRS,1999-04-28,6.375,4.857142857142857
ATSG,2008-12-04,0.36,3.0
AVDL,1998-01-08,5.5,3.142857142857143
AVEO,2017-06-27,20.9,3.1666666666666665
AVNW,2007-01-29,120.0,4.282655246252677
AWH,2008-05-05,2.85,3.064516129032258
AXDX,1996-11-19,7.25,4.142857142857143
AXGN,2002-09-03,0.622501,3.1666709058444695
AXSM,2019-01-07,6.87,3.435
AYRO,2020-11-23,10.6,3.772241992882562
AYTU,2008-10-22,591219.5,5.049999846516928
BBIG,2021-01-21,4.56,3.6774193548387095
BCLI,2009-08-31,2.7,3.0
BFRA,2020-08-05,26.799999,4.785714107142858
BLFS,1999-01-07,13.125,3.0
BLNK,2010-04-09,1625.0,12.264150943396226
BLU,2010-12-16,20.577618,3.800000443200038
BNGO,2019-10-16,2.85,5.480769230769231
BNTX,2020-03-18,92.0,3.2224169254787016
BOOM,2004-11-22,6.128152,3.734972259620454
BOXL,2018-05-14,11.8,3.3239436619718314
BSRR,1994-07-18,4.367917,3.0000006868263953
BTBT,2020-04-15,1.54,3.2217573221757325
BYRN,2006-11-14,19.0,3.1666666666666665
CAAS,2004-10-20,12.641136,3.014018216958337
CALA,2014-12-12,29.85,3.495316159250586
