Ticker,Date,Adj Close,Increase
AAL,2008-07-22,4.025506,2.426136298573129
ACAD,2007-03-19,13.61,2.034379671150971
ACB,2020-05-18,17.1,2.9482758620689657
ACCD,2020-07-02,29.700001,54.000001818181815
ACHC,2000-01-26,8.0,2.6666666666666665
ACLS,2009-02-26,1.4,2.0588235294117645
ACMR,2018-03-08,13.46,2.0029761904761907
ACRS,2021-01-19,18.83,3.213310580204778
AKAM,2002-11-21,2.2,2.1782178217821784
ALLK,2019-08-05,65.260002,2.10516135483871
AMRN,1998-11-30,30.0,2.0
APPS,2006-08-02,5.2,2.08
ARNA,2012-05-11,63.599998,2.4555983783783786
ARVL,2020-11-23,25.450001,2.507389261083744
ARVN,2020-12-14,58.380001,2.21220171323235
ARWR,1994-05-13,975.0,3.0
ATRC,2009-05-05,3.16,2.5901639344262297
ATSG,2003-07-25,1.35,2.2500000000000004
AUPH,2019-12-05,15.0,2.0746887966804977
AXSM,2019-01-07,6.87,3.1513761467889907
AZPN,2002-10-15,1.78,2.282051282051282
BBBY,2021-01-27,52.889999,2.1181418149035567
BCRX,2009-04-27,3.88,2.217142857142857
BIGC,2020-08-26,139.0,2.1550387596899223
BJRI,2020-03-25,13.37,2.04434250764526
BKNG,1999-04-26,724.5,2.0167014613778704
BLDR,2008-12-08,1.86,2.240963855421687
BLFS,1998-01-07,21.875,2.0
BLNK,2010-04-09,1625.0,12.264150943396226
BNGO,2019-10-16,2.85,5.480769230769231
BNTX,2020-03-17,66.599998,2.332749573826605
BOKF,1991-10-30,4.572029,2.00000043744264
BOOM,2004-11-12,3.321843,2.024589379606509
CAMT,2013-11-25,4.202088,2.5193370960721464
CAN,2021-02-12,13.04,2.166112956810631
CAR,2008-11-26,0.8,2.1052631578947367
CATM,2008-11-28,1.34,2.0615384615384618
CCOI,2002-11-26,12.771245,3.3333337683383997
CDEV,2020-04-23,0.578,2.1249999999999996
CDMO,1995-09-29,56.926617,2.029411748978113
CELH,2007-06-11,34.200001,2.0117647647058825
CENX,2009-05-05,7.68,2.1818181818181817
CHEF,2020-03-24,10.43,2.897222222222222
CHX,2020-03-26,6.29,2.0827814569536423
CLDX,2019-02-04,10.35,2.090909090909091
CNDT,2020-08-07,4.13,2.162303664921466
CNST,2019-11-06,28.1,2.061628760088041
CNXN,1998-12-28,14.948215,2.2187495593512168
CORT,2007-04-09,1.96,2.1777777777777776
CRIS,2003-04-09,8.6,2.0722891566265056
CWST,2009-03-17,1.3,2.3636363636363633
CYRX,2006-10-11,60.0,2.0
CZR,2020-03-24,15.05,2.119718309859155
DIOD,1988-03-09,0.839506,2.124998101563805
DISCB,2021-03-31,128.0,2.476780185758514
ECOL,1990-07-20,5.073629,2.2380948599897397
ECPG,2001-04-09,1.2,2.742857142857143
EDIT,2020-12-10,66.839996,2.011435329521517
EH,2021-01-19,61.389999,2.355717626850254
EPAY,1999-03-12,57.859375,2.4686666666666666
EQIX,2001-04-11,35.05476,2.2736840302812293
ERII,2015-10-20,7.32,2.975609756097561
EXAS,2009-01-12,1.5,2.3076923076923075
FCEL,2019-02-20,10.56,2.0
FFIV,1999-06-30,20.5,2.2777777777777777
FITB,2009-02-26,1.686903,2.2233010604451073
GDEN,2020-03-25,7.74,2.047619047619048
