Ticker,Date,Adj Close,Increase
ABEO,1995-06-14,1718.947388,4.0
ABUS,2020-07-23,6.2,3.0845771144278613
ACCD,2020-07-02,29.700001,54.000001818181815
ACRS,2021-01-19,18.83,3.213310580204778
ADAP,2020-01-13,3.99,3.297520661157025
ADMP,2009-04-30,17.85,3.8888888888888893
AEYE,2016-02-22,3.0,3.0
AFMD,2018-08-28,5.55,3.4687499999999996
AGEN,2009-06-03,15.9,4.491525423728814
AGRX,2019-10-31,1.2,3.234501347708895
ALPN,2020-06-19,12.1,3.2439678284182305
ALT,2018-09-19,16.459999,3.854800702576113
ALTM,2020-11-05,29.090391,3.1713399968733995
ALTO,2010-01-12,254.100006,3.06329132236135
AMEH,2009-04-13,17.0,8.5
AMRN,1998-12-01,52.5,3.5
AMTX,2016-06-15,2.36,4.0
ANIX,2017-09-22,2.27,3.2898550724637685
APVO,2020-11-05,21.209999,3.366666507936508
AREC,2018-03-01,1.1,22.0
ARWR,1994-05-13,975.0,3.0
ASLN,2019-11-22,1.73,4.324999999999999
ASYS,2000-08-17,14.625,3.744
ATHX,2009-12-22,5.55,5.6060606060606055
ATOS,2016-02-17,118.800003,3.000000227272739
ATRS,1999-04-28,6.375,4.857142857142857
ATSG,2009-03-23,0.7,3.1818181818181817
AVDL,1998-01-08,5.5,3.0344827586206895
AVEO,2017-06-27,20.9,3.1666666666666665
AVNW,2007-01-29,120.0,4.264392475635838
AWH,2008-05-05,2.85,3.064516129032258
AXDX,1996-11-19,7.25,3.625
AXSM,2019-01-07,6.87,3.1513761467889907
AYTU,2008-10-22,591219.5,5.049999846516928
BBIG,2021-01-21,4.56,3.1888111888111887
BCLI,2009-09-02,5.1,3.090909090909091
BFRA,2020-08-05,26.799999,4.785714107142858
BLFS,1999-01-07,13.125,3.0
BLNK,2010-04-09,1625.0,12.264150943396226
BLU,2010-12-16,20.577618,3.800000443200038
BNGO,2019-10-16,2.85,5.480769230769231
BNTX,2020-03-18,92.0,3.2224169254787016
BOXL,2020-07-16,4.2,4.307692307692308
BSRR,1994-07-18,4.367917,3.0000006868263953
BTBT,2020-04-17,2.55,3.1097560975609757
BYRN,2009-07-09,9.1,4.55
CAAS,2020-11-30,10.5,3.106508875739645
