Ticker,Date,Adj Close,Increase
AIG,2009-03-18,19.314537048339844,3.3658544124825105
AMC,2021-01-27,19.899999618530277,6.7003365073508805
BNTX,2020-03-18,92.0,3.222416898721856
CVE,2009-12-09,17.763927459716797,117.49989029820166
DAR,2000-09-26,0.8125,3.25
GME,2021-01-26,147.97999572753906,3.782719830468296
LNG,1996-08-07,7.760000228881836,3.6603776640466115
NUAN,1999-11-11,7.440476417541504,4.43548404862804
NVAX,2009-04-27,51.0,3.1481479998860302
NVO,1982-04-23,3.2016778561683175e-08,11.19445266096474
NVR,1993-10-01,10.25,27.333333333333332
PENN,2020-03-25,14.5600004196167,3.221239044481628
PLUG,2000-01-07,790.0,3.0679611650485437
SID,1997-04-24,-0.0005820746300742,4.727645782772175
SU,1982-05-26,0.169991448521614,3.8095230621425484
UBS,2014-11-24,140.75225830078125,12.439372892751363
WMB,2002-07-31,1.2307990789413452,3.3522725354133955
WTRG,1981-07-01,0.0086274780333042,12.43000891542115
