Ticker,Date,Adj Close,Increase
AAIC,1999-04-15,49.42635,2.2871291568217913
ABG,2009-03-23,4.7,2.338308457711443
ABR,2009-03-13,0.55538,2.103449190063363
ACCO,2008-12-03,1.439734,2.025315494134644
ACR,2008-12-08,10.648014,2.2758619805231097
ACRE,2020-03-27,7.477922,2.04418581892119
AEG,2009-03-23,3.266849,2.1608702352990203
AER,2009-01-06,5.35,2.1314741035856573
AES,2002-03-08,6.359383,2.0072631467975683
AG,2008-11-04,1.489516,2.0985926407042292
AGM,2008-10-01,4.854072,2.374125061809972
AGO,2008-12-05,10.411738,2.1094767365176588
AGS,2020-03-24,2.56,2.438095238095238
AGX,1995-10-13,5.517584,32.00009279450657
AHT,2008-11-03,8.397142,2.1250001265311536
AIG,2008-09-22,66.061287,2.302438505334558
AIR,2020-03-26,19.950001,2.113347563559322
AL,2020-03-24,22.041231,2.101313199733251
AMC,2020-04-29,5.19,2.1535269709543567
AMPY,2015-08-28,3.49067,2.327777525854044
AMT,2002-11-01,1.272038,2.068492371036118
AN,1990-06-07,4.83603,2.083332794840811
AR,2020-04-09,1.47,2.1940298507462686
ARI,2020-03-26,7.906141,2.2216979528202496
ASGN,2009-03-17,2.78,2.0144927536231885
AUY,2001-09-18,2.641234,2.1999998334112134
AVA,2000-01-20,14.767035,2.0725811511071868
AVD,1987-03-06,0.379121,2.19999651826749
AXL,2008-10-31,3.561953,2.039772655690766
AZUL,2020-03-26,12.33,2.0515806988352745
BAC,2009-03-18,6.63729,2.442674908417494
BAK,2020-03-26,7.81,2.023316062176166
BB,2001-04-19,6.336667,2.0298984484892206
BBW,2020-04-14,2.04,2.0
BCEI,2015-10-09,889.356384,2.059431623043397
BCS,2009-01-28,4.423398,2.0912048236629524
BDN,1992-01-31,0.505163,2.0000039591259835
BE,2019-11-11,5.5,2.0370370370370368
BEN,1984-11-14,0.059766,2.465797508045218
BHR,2020-04-13,2.9,2.338709677419355
BORR,2020-03-23,0.57,2.28
BRT,1975-01-07,1.250712,2.142855674306881
BTCM,2020-12-28,5.32,2.046153846153846
BTO,1996-10-15,3.336976,2.414868226994904
