Ticker,Date,Adj Close,Increase
ACCD,2020-07-02,29.700001,54.000001818181815
ACRS,2021-01-19,18.83,3.213310580204778
AMRN,1998-12-01,52.5,3.5
ARWR,1994-05-13,975.0,3.0
ATSG,2009-03-23,0.7,3.1818181818181817
AXSM,2019-01-07,6.87,3.1513761467889907
BLFS,1999-01-07,13.125,3.0
BLNK,2010-04-09,1625.0,12.264150943396226
BNGO,2019-10-16,2.85,5.480769230769231
BNTX,2020-03-18,92.0,3.2224169254787016
CCOI,2002-11-26,12.771245,3.3333337683383997
CHEF,2020-03-25,11.56,3.2111111111111112
CLDX,2020-06-15,10.71,3.5819397993311037
CRIS,2020-12-08,6.55,4.548611111111111
CYRX,2007-01-19,216.0,4.186046673877778
EPAY,1999-03-15,92.25,3.294642857142857
ERII,2015-10-22,7.76,3.154471544715447
FCEL,2019-07-02,0.55,3.4375
GEVO,2016-06-08,384.0,3.0
GIII,1998-12-29,2.958333,5.259258666666667
GRBK,2009-05-08,15.796345,3.903226268761751
HA,1995-06-23,13.007399,3.5999993911158827
IDCC,1999-12-31,61.261837,3.1830235624489096
IDEX,2008-12-17,18.75,5.0
INO,2009-07-29,12.72,4.746268656716418
IOVA,2013-05-03,6.0,3.0
ITCI,2019-12-24,38.490002,3.0940516077170415
JAZZ,2009-06-10,3.16,3.16
KRTX,2019-11-18,96.0,5.64373897707231
LTRPB,2020-04-15,34.689999,9.104986614173228
LX,2017-12-26,14.39,13.448598130841122
MARA,2012-09-11,104.0,3.4482758620689653
MCRB,2020-08-10,22.700001,5.550122493887531
MGNX,2020-05-06,25.15,3.7649700598802394
MVIS,2020-05-04,1.1,4.4
NNDM,2020-05-19,3.4,4.415584415584416
NUAN,1999-11-11,7.440476,4.4354842267222025
NVAX,2009-04-27,51.0,3.1481479538180275
OAS,2020-03-13,0.99363,3.0339847328244276
OCGN,2020-12-23,2.6,8.843537414965986
PENN,2020-03-25,14.56,3.221238938053098
PLAY,2020-03-24,15.65,3.213552361396304
PLBY,2021-06-04,45.919998,3.484066616084977
PLL,2020-09-28,37.0,3.3636363636363638
PLUG,2000-01-07,790.0,3.0679611650485437
PLUS,2000-01-03,32.266602,3.08146054646629
PPBI,2000-12-13,4.865284,3.7777786405294327
PPC,2008-11-26,0.77099,3.6428625427604846
RBBN,2002-11-07,5.8,3.222222222222222
RCKT,2015-07-23,61.48,3.0375494071146245
SAVA,2018-10-03,2.9,3.0208333333333335
SBRA,2003-05-12,1.139997,4.454557532324933
SNEX,1999-02-04,5.991736,3.8666664085333706
SRNE,2007-03-20,137.5,3.4375
SRPT,2012-10-03,44.93,3.1397624039133474
SWBI,2001-01-29,0.381016,3.555547260663861
TGTX,2011-07-21,28.6875,5.1
THRM,1999-01-06,1.875,3.0
TSCO,1994-02-18,1.254538,3.2499974094069612
VCEL,2000-02-11,700.0,3.111111111111111
VG,2009-08-25,1.59,4.076923076923077
VIR,2020-02-27,60.200001,3.7023370848708486
WKHS,2019-05-08,2.65,3.1435349940688018
