Ticker,Date,Adj Close,Increase
AAIC,1999-04-15,49.42635,2.2647057866704046
ABR,2009-04-30,1.279194,2.0814828193875607
ACCO,2008-12-05,1.790669,2.1630434126112674
ACR,2020-04-08,8.97,2.8207547169811322
AER,2009-01-06,5.35,2.1314741035856573
AGM,2008-10-01,4.854072,2.374125061809972
AGS,2020-03-24,2.56,2.438095238095238
AGX,1995-10-13,5.517584,32.00009279450657
AHT,2008-11-03,8.397142,2.1250001265311536
AIG,2008-09-22,66.061287,2.302438505334558
AL,2020-03-24,22.041231,2.101313199733251
AMC,2021-01-27,19.9,6.7003367003367
AMPY,2015-08-28,3.49067,2.327777525854044
AMT,2002-11-22,2.990552,2.3666657697682996
AN,1995-05-22,3.498062,2.008096538477215
AR,2020-04-09,1.47,2.0704225352112675
ARI,2020-03-26,7.906141,2.2216979528202496
AUY,2001-09-18,2.641234,2.1999998334112134
AVA,2000-01-21,21.604683,2.224851268492771
AVD,1987-03-06,0.379121,2.19999651826749
AXL,2008-11-25,2.202656,2.155339824825604
AZUL,2020-06-08,17.299999,2.0570747919143875
BAK,2020-03-26,7.81,2.023316062176166
BCEI,2016-03-04,236.566559,2.019047662209309
BCS,2009-01-28,4.423398,2.0912048236629524
BDN,1992-03-09,0.757743,2.181817396537278
BEN,1984-11-14,0.059766,2.465797508045218
BHR,2020-04-13,2.9,2.338709677419355
BORR,2020-03-23,0.57,2.28
BTCM,2020-12-31,9.0,2.1176470588235294
BTO,1996-10-15,3.336976,2.347476919007595
BVH,2009-03-25,1.167904,2.0
BW,2020-05-12,2.16,2.384105960264901
BXC,2008-12-23,23.0,2.1904761904761907
BXMT,2008-10-31,19.632917,2.030849114296543
BZH,2009-03-13,2.7,2.16
C,2008-11-28,72.240448,2.198938872465776
CANG,2021-01-28,17.649752,2.316784955624084
CATO,1991-04-05,0.415507,2.3428643924443193
CBRE,2009-03-25,4.92,2.0847457627118646
CBZ,1996-05-20,5.0,2.4242424242424243
CCK,2001-12-06,1.842888,2.0108700514914406
CCM,2020-12-15,5.31,2.794736842105263
CEM,2020-03-24,8.170948,2.256097867392731
CHMI,2020-04-08,5.440748,2.114186925163021
CLH,1996-09-10,1.5625,2.0
CNO,2009-03-24,0.616723,2.0571421900225486
COO,1993-10-04,1.189141,2.166667881363035
CPE,2002-03-18,92.0,2.2330096545386007
CRK,2015-08-12,16.15,2.714285714285714
CRY,2002-09-06,3.909467,2.16931209004261
CSR,1999-07-16,46.077,2.344262268392362
