Ticker,Date,Adj Close,Increase
AE,1983-05-17,7.570276,2.4999995046416728
AMPE,2010-09-10,3.5,2.1875
ANVS,2021-02-09,20.200001,2.030150854271357
ASM,2008-11-07,0.55,2.2
ASXC,1997-12-31,2071.875,2.125
ATNM,2013-03-18,90.0,2.0
AUMN,2009-05-21,2.0,2.2222222222222223
AXU,2008-12-31,1.46,2.317460317460317
BTX,1998-04-17,137.5,2.0
CMCL,1992-06-23,13.612002,2.0
CVM,1984-11-16,2500.0,2.0
DLA,2008-06-18,4.25,2.0334928229665072
DNN,2008-12-31,1.18,2.1071428571428568
DPW,2000-02-29,3750.0,2.2058823529411766
ELA,2001-12-19,4.3,2.25130890052356
ELLO,2005-05-20,19.1,3.7450980392156867
EMAN,2000-03-20,220.017227,2.033707889886853
EPM,1997-08-12,2867.514648,2.0
EVI,1991-03-22,0.80177,2.333331393183088
FTSI,2020-02-13,22.200001,2.2699387525562376
GAU,2008-11-04,0.84,2.1538461538461537
GDP,2020-04-21,8.34,2.074626865671642
GPL,2008-10-30,0.32,2.0
GSAT,2008-12-10,0.47,2.238095238095238
GSS,2008-12-16,5.7,2.4782608695652177
GSV,2016-08-11,2.9,2.0422535211267605
GTE,2020-06-08,0.64,2.666666666666667
INTT,2008-11-28,0.33843,2.0588271079206715
ISR,2008-08-26,0.78,2.2285714285714286
LCTX,1995-09-11,0.947368,2.0
LEU,2013-07-19,66.483513,2.043918782132261
LNG,1994-05-25,18.0,2.0
LODE,2021-02-01,2.95,2.633928571428571
LOV,2017-11-06,10.0,10.1010101010101
MCF,1996-05-22,1.179371,2.500002119775812
MHH,2008-12-18,0.61485,2.0285718998993714
MLSS,1997-09-11,39.75,2.0
MTA,2010-01-12,15.997301,14.695662119122925
MTNB,2015-04-10,1.19,2.1636363636363636
NEWP,2009-02-03,0.96,2.6666666666666665
NG,2008-12-15,1.34,2.977777777777778
NGD,2008-09-19,9.4,2.7325581395348837
NHC,1991-10-22,4.313457,2.0916185074806353
NOG,2017-11-06,13.4,2.0615384615384618
ORLA,2018-12-19,0.83,829.9999999999999
PED,2003-07-11,15456.0,2.13953488372093
PLM,2000-10-20,3.687719,2.0769235534769717
PTN,1998-10-27,34.375,2.037037037037037
REI,2007-04-17,10.44,2.071428571428571
REPX,1999-12-16,1498.464844,2.2795699925170845
RLGT,2008-06-04,0.32,2.0
RVP,2001-09-28,7.0,2.058823529411765
SENS,2020-12-24,0.91,2.203389830508475
SIM,1995-04-05,8.164416,2.2580644804420755
SMTS,2008-11-11,0.819428,2.400002343100156
STXS,2008-11-26,44.616787,2.1733331716124518
SVM,2020-03-25,4.151315,2.0591135521651296
TGB,1998-11-19,2.375,2.235294117647059
TRX,2016-05-03,0.54,2.0
UAVS,2007-05-21,2437.5,10.0
UEC,2008-12-17,0.4,2.1052631578947367
URG,2008-11-07,0.59,2.0344827586206895
USAS,2009-01-05,4.08,2.125
VGZ,2000-11-24,1.25,2.0
VNRX,2014-09-22,4.46,2.207920792079208
WWR,1998-09-25,15840.0,2.64
XTNT,2017-03-07,9.96,2.1282051282051286
YCBD,2018-09-20,6.19,2.0295081967213116
ZDGE,2020-10-26,2.8,2.014388489208633
ZOM,2020-02-20,0.32,2.5806451612903225
