Date,Open,High,Low,Close,Adj Close,Volume,date_id,OC_High,OC_Low
2019-12-31,7.240000,7.300000,7.150000,7.240000,7.195854,3279000,1,7.240000,7.240000
2020-01-02,7.300000,7.560000,7.230000,7.460000,7.414512,4545900,3,7.460000,7.300000
2020-01-03,7.450000,7.600000,7.310000,7.320000,7.275366,2218000,4,7.450000,7.320000
2020-01-06,7.250000,7.300000,7.110000,7.120000,7.076585,2903400,7,7.250000,7.120000
2020-01-07,7.110000,7.200000,7.000000,7.130000,7.086524,3205300,8,7.130000,7.110000
2020-01-08,7.110000,7.150000,6.610000,6.620000,6.579634,6557000,9,7.110000,6.620000
2020-01-09,6.660000,6.680000,6.350000,6.460000,6.420610,6794300,10,6.660000,6.460000
2020-01-10,6.440000,6.670000,6.410000,6.470000,6.430549,5203600,11,6.470000,6.440000
2020-01-13,6.500000,6.640000,6.420000,6.560000,6.520000,2836800,14,6.560000,6.500000
2020-01-14,6.550000,6.960000,6.450000,6.850000,6.808232,2713100,15,6.850000,6.550000
2020-01-15,6.850000,7.340000,6.800000,7.110000,7.066647,4660300,16,7.110000,6.850000
2020-01-16,7.190000,7.440000,7.190000,7.330000,7.285305,3350400,17,7.330000,7.190000
2020-01-17,7.360000,7.380000,7.130000,7.280000,7.235610,2016900,18,7.360000,7.280000
2020-01-21,7.260000,7.320000,7.150000,7.180000,7.136220,1831400,22,7.260000,7.180000
2020-01-22,7.210000,7.220000,6.930000,6.970000,6.927500,2716900,23,7.210000,6.970000
2020-01-23,6.930000,7.000000,6.680000,6.800000,6.758537,2029300,24,6.930000,6.800000
2020-01-24,6.760000,6.800000,6.600000,6.740000,6.698902,2282800,25,6.760000,6.740000
2020-01-27,6.510000,6.540000,6.250000,6.360000,6.321219,3163600,28,6.510000,6.360000
2020-01-28,6.350000,6.800000,6.290000,6.790000,6.748598,2094700,29,6.790000,6.350000
2020-01-29,6.860000,6.890000,6.690000,6.770000,6.728720,1438200,30,6.860000,6.770000
2020-01-30,6.620000,6.880000,6.460000,6.840000,6.798293,1640600,31,6.840000,6.620000
2020-01-31,6.810000,6.870000,6.500000,6.520000,6.480244,1883300,32,6.810000,6.520000
2020-02-03,6.500000,6.590000,6.410000,6.450000,6.410671,1405700,35,6.500000,6.450000
2020-02-04,6.460000,6.690000,6.390000,6.650000,6.609451,2004400,36,6.650000,6.460000
2020-02-05,6.720000,7.100000,6.690000,7.000000,6.957317,2167200,37,7.000000,6.720000
2020-02-06,7.030000,7.130000,6.730000,6.750000,6.708841,2713400,38,7.030000,6.750000
2020-02-07,6.700000,6.750000,6.540000,6.550000,6.510061,2063000,39,6.700000,6.550000
2020-02-10,6.550000,6.830000,6.470000,6.790000,6.748598,1360300,42,6.790000,6.550000
2020-02-11,6.800000,6.980000,6.650000,6.940000,6.897683,1568500,43,6.940000,6.800000
2020-02-12,6.930000,7.080000,6.820000,6.860000,6.818171,1922100,44,6.930000,6.860000
2020-02-13,6.750000,7.080000,6.720000,7.000000,6.957317,1553400,45,7.000000,6.750000
2020-02-14,7.010000,7.190000,6.880000,7.100000,7.056707,1706000,46,7.100000,7.010000
2020-02-18,7.090000,7.250000,7.030000,7.040000,6.997073,2142800,50,7.090000,7.040000
2020-02-19,7.100000,7.440000,7.060000,7.310000,7.265427,2308500,51,7.310000,7.100000
2020-02-20,7.320000,7.780000,7.210000,7.760000,7.712683,3649100,52,7.760000,7.320000
2020-02-21,7.700000,7.750000,7.330000,7.460000,7.414512,3034300,53,7.700000,7.460000
2020-02-24,7.140000,7.140000,6.840000,7.050000,7.007012,3210900,56,7.140000,7.050000
2020-02-25,7.000000,7.280000,6.480000,6.550000,6.510061,4181000,57,7.000000,6.550000
2020-02-26,6.570000,6.620000,5.870000,5.930000,5.893841,7176800,58,6.570000,5.930000
2020-02-27,5.710000,6.200000,5.120000,6.090000,6.052866,6294000,59,6.090000,5.710000
2020-02-28,6.510000,6.650000,5.980000,6.260000,6.221829,7555900,60,6.510000,6.260000
2020-03-02,6.310000,6.320000,5.630000,6.110000,6.072744,4585400,63,6.310000,6.110000
2020-03-03,6.100000,6.130000,5.640000,5.810000,5.774573,3843000,64,6.100000,5.810000
2020-03-04,5.860000,5.900000,5.430000,5.820000,5.784513,4483700,65,5.860000,5.820000
2020-03-05,5.600000,5.610000,4.750000,4.920000,4.890000,5853100,66,5.600000,4.920000
2020-03-06,4.620000,4.730000,4.370000,4.530000,4.530000,4599900,67,4.620000,4.530000
2020-03-09,3.950000,4.070000,3.680000,3.850000,3.850000,3404000,70,3.950000,3.850000
2020-03-10,4.170000,4.290000,3.760000,4.200000,4.200000,3687000,71,4.200000,4.170000
2020-03-11,3.980000,4.070000,3.560000,3.640000,3.640000,4059400,72,3.980000,3.640000
2020-03-12,2.680000,3.150000,2.650000,2.910000,2.910000,8058000,73,2.910000,2.680000
2020-03-13,3.140000,3.270000,2.800000,3.220000,3.220000,6158300,74,3.220000,3.140000
2020-03-16,2.640000,2.900000,2.600000,2.600000,2.600000,8497900,77,2.640000,2.600000
2020-03-17,2.620000,2.750000,1.950000,2.480000,2.480000,7685700,78,2.620000,2.480000
2020-03-18,2.280000,3.000000,2.110000,2.470000,2.470000,7753500,79,2.470000,2.280000
