Date,Open,High,Low,Close,Adj Close,Volume,date_id,OC_High,OC_Low
2019-12-31,6.080000,6.390000,5.990000,6.080000,6.080000,4322600,1,6.080000,6.080000
2020-01-02,6.140000,6.470000,6.070000,6.310000,6.310000,4453600,3,6.310000,6.140000
2020-01-03,6.210000,6.250000,5.840000,5.880000,5.880000,3543900,4,6.210000,5.880000
2020-01-06,5.800000,5.910000,5.600000,5.850000,5.850000,3394800,7,5.850000,5.800000
2020-01-07,5.770000,5.830000,5.440000,5.520000,5.520000,5228000,8,5.770000,5.520000
2020-01-08,5.490000,5.850000,5.410000,5.720000,5.720000,5629400,9,5.720000,5.490000
2020-01-09,5.820000,5.820000,5.480000,5.550000,5.550000,2643000,10,5.820000,5.550000
2020-01-10,5.560000,5.600000,5.380000,5.430000,5.430000,2781400,11,5.560000,5.430000
2020-01-13,5.430000,5.610000,5.330000,5.430000,5.430000,3625200,14,5.430000,5.430000
2020-01-14,4.780000,5.000000,4.530000,4.710000,4.710000,12561900,15,4.780000,4.710000
2020-01-15,4.660000,4.730000,4.550000,4.610000,4.610000,4981100,16,4.660000,4.610000
2020-01-16,4.610000,4.710000,4.520000,4.620000,4.620000,4287100,17,4.620000,4.610000
2020-01-17,4.580000,4.750000,4.510000,4.750000,4.750000,4019500,18,4.750000,4.580000
2020-01-21,4.750000,4.750000,4.550000,4.590000,4.590000,3532100,22,4.750000,4.590000
2020-01-22,4.550000,4.640000,4.460000,4.560000,4.560000,2627500,23,4.560000,4.550000
2020-01-23,4.550000,4.640000,4.460000,4.620000,4.620000,1880200,24,4.620000,4.550000
2020-01-24,4.640000,4.640000,4.250000,4.320000,4.320000,4163600,25,4.640000,4.320000
2020-01-27,4.200000,4.350000,4.160000,4.280000,4.280000,2122500,28,4.280000,4.200000
2020-01-28,4.300000,4.300000,4.180000,4.210000,4.210000,2144900,29,4.300000,4.210000
2020-01-29,4.220000,4.320000,4.130000,4.130000,4.130000,1552600,30,4.220000,4.130000
2020-01-30,4.100000,4.120000,3.880000,3.930000,3.930000,3006500,31,4.100000,3.930000
2020-01-31,3.910000,3.940000,3.830000,3.840000,3.840000,2891700,32,3.910000,3.840000
2020-02-03,3.880000,3.980000,3.850000,3.950000,3.950000,2025600,35,3.950000,3.880000
2020-02-04,4.030000,4.250000,3.970000,4.070000,4.070000,3563100,36,4.070000,4.030000
2020-02-05,4.150000,4.410000,4.140000,4.180000,4.180000,2641700,37,4.180000,4.150000
2020-02-06,4.200000,4.300000,4.140000,4.140000,4.140000,1510300,38,4.200000,4.140000
2020-02-07,4.110000,4.130000,3.770000,3.810000,3.810000,2742300,39,4.110000,3.810000
